id,incompleteness,violation
nfr1.txt,2,0
nfr10.txt,1,1
nfr11.txt,2,1
nfr12.txt,1,1
nfr2.txt,2,0
nfr3.txt,2,0
nfr4.txt,2,0
nfr5.txt,2,0
nfr6.txt,2,0
nfr7.txt,2,0
nfr8.txt,2,0
nfr9.txt,2,1
req_1.txt,2,0
req_10.txt,2,0
req_11.txt,2,1
req_12.txt,2,1
req_13.txt,2,1
req_14.txt,2,1
req_15.txt,3,1
req_16.txt,2,0
req_17.txt,2,0
req_18.txt,2,1
req_19.txt,2,1
req_2.txt,2,1
req_20.txt,2,0
req_21.txt,2,0
req_22.txt,2,1
req_23.txt,2,0
req_24.txt,2,0
req_25.txt,2,1
req_26.txt,2,0
req_27.txt,2,0
req_28.txt,2,0
req_29.txt,2,1
req_3.txt,2,1
req_30.txt,2,1
req_31.txt,2,0
req_32.txt,2,0
req_33.txt,2,0
req_34.txt,2,0
req_35.txt,2,0
req_36.txt,2,0
req_38.txt,2,0
req_39.txt,2,0
req_4.txt,2,1
req_40.txt,3,1
req_5.txt,2,1
req_6.txt,2,1
req_7.txt,3,1
req_8.txt,2,1
req_9.txt,2,1
